id,p_same_figure,p_same_paper,p_related_papers,p_unrelated_papers
1,0.9795182347297668,0.016853541135787964,0.0029748270753771067,0.0006534827407449484
3,0.8992355465888977,0.09186269342899323,0.008412090130150318,0.0004896423779428005
5,0.9560077786445618,0.03884739428758621,0.0044969129376113415,0.0006478416617028415
7,0.9196674823760986,0.07091714441776276,0.008338531479239464,0.0010768198408186436
9,0.9567838311195374,0.03173206001520157,0.010464121587574482,0.0010200254619121552
11,0.9394587874412537,0.054683055728673935,0.0053304145112633705,0.0005277825403027236
13,0.7661880850791931,0.2062167227268219,0.025811048224568367,0.0017841241788119078
15,0.5142760872840881,0.43306389451026917,0.04935357719659805,0.0033064833842217922
17,0.9505203366279602,0.043088648468256,0.0058314139023423195,0.0005596238188445568
19,0.9644094705581665,0.028671137988567352,0.005824894644320011,0.0010944652603939176
21,0.9670363664627075,0.028303517028689384,0.004141719546169043,0.0005183970206417143
23,0.9228495955467224,0.07005924731492996,0.0066191451624035835,0.0004720555152744055
25,0.9719702005386353,0.023218516260385513,0.0041628507897257805,0.0006484470795840025
27,0.9568320512771606,0.040115103125572205,0.0029059285297989845,0.00014695599384140223
29,0.8533967137336731,0.13715332746505737,0.009046243503689766,0.0004037233302369714
31,0.3950486481189728,0.4618586301803589,0.11861510574817657,0.024477610364556313
33,0.9830918908119202,0.014243883080780506,0.0022537095937877893,0.0004104310064576566
35,0.9857930541038513,0.012216915376484394,0.0016794167459011078,0.0003106608346570283
37,0.9620990753173828,0.03241082280874252,0.004817438777536154,0.0006726651918143034
39,0.950295627117157,0.039223384112119675,0.009029735811054707,0.0014512105844914913
41,0.9811068773269653,0.015858115628361702,0.0025486310478299856,0.0004864147340413183
43,0.9707631468772888,0.02392580360174179,0.004425828345119953,0.0008852214086800814
45,0.970304548740387,0.025062182918190956,0.003965413197875023,0.0006678845384158194
47,0.41503462195396423,0.47029584646224976,0.10826825350522995,0.006401210092008114
49,0.974840521812439,0.022220691666007042,0.0026956757064908743,0.0002430225576972589
51,0.9816861152648926,0.01490611582994461,0.0028896823059767485,0.0005180915468372405
53,0.9817009568214417,0.016117596998810768,0.0019249727483838797,0.0002564777387306094
55,0.8482940793037415,0.12608765065670013,0.022606272250413895,0.003011994296684861
