id,p_same_figure,p_same_paper,p_related_papers,p_unrelated_papers
0,0.9647350907325745,0.028680820018053055,0.005647588055580854,0.0009364618454128504
2,0.964996337890625,0.028243809938430786,0.005920223891735077,0.0008396663470193744
4,0.9703740477561951,0.0239162128418684,0.005092055536806583,0.0006177364266477525
6,0.9858580231666565,0.012410121969878674,0.0014821776421740651,0.00024963944451883435
8,0.980616569519043,0.01635332964360714,0.002587472554296255,0.0004426643718034029
10,0.9587666392326355,0.03280718997120857,0.007435551378875971,0.000990691245533526
12,0.9353167414665222,0.057054683566093445,0.0069215185940265656,0.0007070776773616672
14,0.9572805166244507,0.03432834893465042,0.0069742267951369286,0.001416900078766048
16,0.990627646446228,0.00817813165485859,0.0010077435290440917,0.00018641381757333875
18,0.9644452929496765,0.03004821203649044,0.004754316993057728,0.0007522422820329666
20,0.9031040072441101,0.08532459288835526,0.010514053516089916,0.0010574260959401727
22,0.9875850677490234,0.010800987482070923,0.001351902261376381,0.0002620781888253987
24,0.9519657492637634,0.04117799922823906,0.00593225285410881,0.0009240667568519711
26,0.9764061570167542,0.019950488582253456,0.0030595066491514444,0.0005839170189574361
28,0.980614960193634,0.016872411593794823,0.002213178901001811,0.0002995211980305612
30,0.9874604940414429,0.010467357002198696,0.0017356578027829528,0.0003364725853316486
32,0.9575681090354919,0.03433866426348686,0.006761683616787195,0.001331454492174089
34,0.9688201546669006,0.02581818215548992,0.004557180218398571,0.0008043900597840548
36,0.9247094392776489,0.06391822546720505,0.010272594168782234,0.0010997737990692258
38,0.9930852651596069,0.006092548370361328,0.0007052636938169599,0.00011694418935803697
40,0.9769662022590637,0.020595593377947807,0.0021707594860345125,0.0002674900460988283
42,0.967471182346344,0.02618824504315853,0.005076822824776173,0.0012637211475521326
44,0.9847687482833862,0.013403715565800667,0.0017040910897776484,0.0001234439405379817
46,0.9599807858467102,0.03664541244506836,0.0031523974612355232,0.00022133304446469992
48,0.9865339994430542,0.011307292617857456,0.0018172471318393946,0.0003414505918044597
50,0.9743399620056152,0.021525971591472626,0.0035693563986569643,0.0005647541838698089
52,0.8446862697601318,0.13575343787670135,0.017530903220176697,0.002029349561780691
54,0.9753382205963135,0.02258213981986046,0.0019124964019283652,0.00016711205535102636
